question,answer
Неровный край реза,"Оснастка станка: рабочий стол. Плохая закрепленность на рабочем стола из-за небольшого веса листа
 Что бы исправить разработать РИ по выполнению операции, отразить в РИ контроль качества закрепления листа на столе"
Неровный край реза,"Расходники. Расходники не обеспечивают качество обрабатываемых изделий
 Что бы исправить Включить в стандарт ППО замену расходников"
Прожоги,"Оператор. Ошибки при выборе программы
 Что бы исправить Разработка РИ по выполнению операции, включить в РИ порядок выбора рабочих программ"
Прожоги,"Оператор. Несоответствующий визуальный контроль, пропуск дефектной детали
 Что бы исправить Создание матрицы компетентностей сотрудников, создание РИ по проведению операции; разработка бланка визуализации дефектов"
Прожоги,Наладчик. Ошибки при написании программы Что бы исправить Выбор наладчика согласно Матрице компетентности
"Град (облой), затвердевшые капли металла на кромках
","Наладчик: Не  верно выбраны режимы обработки (скорость резания и т.д.)
 Что бы исправить Разработка таблиц с режимами и выдача на рабочее место"
Пересорт,"Оператор. Несоответствующий визуальный контроль, невнимательность  Что бы исправить Создание матрицы компетентностей сотрудников, создание чек-листа сменного задания"
"Отклонение по геометрическим размерам детали
","Оператор: Не достаточный инструментальных контроль размеров (контроль не выявил несоответствий деталей)
 Что бы исправить Определить размер выборки инструментального контроля; включить в РИ по выполнению операции действия по визуальному и инструментальному контролю; разместить РИ на рабочем месте; ознакомить с РИ операторов."
"Отклонение по геометрическим размерам детали
","Наладчик станков ЧПУ: Ошибки при написании программы
 Что бы исправить Определить размер выборки инструментального контроля; включить в РИ по выполнению операции действия по визуальному и инструментальному контролю; разместить РИ на рабочем месте; ознакомить с РИ операторов."
"Отклонение по геометрическим размерам детали
","Оборудование. потеря заданной точности станка из-за износа линейных направляющих станка, люфт 
Зазор в опорах шпинделя
Зазор в направляющих суппорта Что бы исправить Включить оборудование в график ППО; разработать стандарт ППО; разработать карту автономного обслуживания на рабочем месте; разработать кодификатор отказов оборудования"
"Отклонение по геометрическим размерам детали
","6 Средства измерений (СИ): Отсутствие поверки и аттестации СИ Что бы исправить Разработка рабочей инструкции (РИ) на входной контроль.
Разработка требований к компетентности контролера.
"
"2.Дефекты поверхности  отсутствие требуемой шероховатости, Задиры",Режущий инструмент. Износ режущего инструмента  Что бы исправить Принудительная замена
"2.Дефекты поверхности  отсутствие требуемой шероховатости, Задиры",Оператор ЧПУ/ Наладчик ЧПУ: Резец установлен ниже центра Что бы исправить -
"Дефекты поверхности-  дробление, необработанная поверхность, несоответствующий профиль","Оборудование: Зазор в опорах шпинделя, Зазор в направляющих суппорта, Шпиндель имеет осевой люфт Что бы исправить Включить оборудование в график ППО; разработать стандарт ППО; разработать карту автономного обслуживания на рабочем месте; разработать кодификатор отказов оборудования"
"Дефекты поверхности-  дробление, необработанная поверхность, несоответствующий профиль",Оборудование: Слабое закрепление резцов Что бы исправить Включить оборудование в график ППО; разработать стандарт ППО; разработать карту автономного обслуживания на рабочем месте; разработать кодификатор отказов оборудования
"Дефекты поверхности-  дробление, необработанная поверхность, несоответствующий профиль","4.Оснастка: Зажимной патрон-Неплотно зажата заготовка в патроне, Недостаточное удержание и закрепление заготовки при обработке. Биение диаметральное/торцовое. Что бы исправить -"
"Дефекты поверхности-  дробление, необработанная поверхность, несоответствующий профиль",4.Оснастка: Зажимной патрон-Заготовка имеет вибрацию при обработке Что бы исправить -
"Дефекты поверхности-  дробление, необработанная поверхность, несоответствующий профиль",Наладчик  ЧПУ: Не правильно подобраны режимы резания (ошибка в подборе скорости (подачи) Что бы исправить -
"Дефекты поверхности-  дробление, необработанная поверхность, несоответствующий профиль","Материал : плохая обрабатываемость (несоответствие физико-химическим свойствам) Что бы исправить Создание РИ, СОП на входной контроль"
"Дефекты поверхности-  дробление, необработанная поверхность, несоответствующий профиль","Оборудование: Жесткость технологической системы, в которой ведется обработка; остаточные деформации Что бы исправить -"
4.Увеличение сроков производства,Режущий инструмент: Поломка режущего инструмента Что бы исправить -
4.Увеличение сроков производства,Режущий инструмент: Некачественный инструмента Что бы исправить -
4.Увеличение сроков производства,Материал : Несоответствие  ГОСТ/ТУ Что бы исправить -
Отклонение по геометрическим размерам детали,"1.Оператор:Невнимательность/квалификация оператора , неверная установка материала/угла, выбор программы Что бы исправить Создание матрицы компетентностей сотрудников, создание РИ по проведению операции, присвоение разряда "
Отклонение по геометрическим размерам детали,"2.Программист ЧПУ: Ошибка в подборе скорости (подачи), не верное номинальное усилие, количества элементов, геометрии по чертежу Что бы исправить Стажировка на данном оборудовании, соответствие разряду/присвоение разряда "
Отклонение по геометрическим размерам детали,"Производственная среда: Узкое помещение, неудобства при установки габаритных деталей, недостаток освещенности Что бы исправить -"
2.Увеличение времени производственного цикла,3.Оборудование: Сбои/поломка станка Что бы исправить Включить оборудование в график ППО; разработать стандарт ППО; разработать карту автономного обслуживания на рабочем месте; разработать кодификатор отказов оборудования
2.Увеличение времени производственного цикла,"Производственная среда: Узкое помещение, неудобства при установки габаритных деталей, недостаток освещенности Что бы исправить -"
Овальность в районе гиба,3.Оборудование: Износ оборудования Что бы исправить Включить оборудование в график ППО; разработать стандарт ППО; разработать карту автономного обслуживания на рабочем месте; разработать кодификатор отказов оборудования
3.Несимметричный гиб,3.Оборудование: Шаблон не соответствует размеру Что бы исправить -
Деформация (неисправимый брак/либо доп. трудоемкость) ,3.Оборудование: Износ оборудования Что бы исправить Включить оборудование в график ППО; разработать стандарт ППО; разработать карту автономного обслуживания на рабочем месте; разработать кодификатор отказов оборудования
Деформация (неисправимый брак/либо доп. трудоемкость) ,3.Оборудование: Ролик гибочного сектора сильно разработан или не соответст­вует наружному диаметру трубы Что бы исправить Включить оборудование в график ППО; разработать стандарт ППО; разработать карту автономного обслуживания на рабочем месте; разработать кодификатор отказов оборудования
Пересорт,Оператор :Пропуск деталей из комплекта/партии Что бы исправить Сменное задание - спецификация/ чек-лист 
"
1.Несоответствие геометрическим размерам. ","Оператор: Не достаточный инструментальных контроль размеров (контроль не выявил несоответствий деталей)
 Что бы исправить Определить размер выборки инструментального контроля; включить в РИ по выполнению операции действия по визуальному и инструментальному контролю; разместить РИ на рабочем месте; ознакомить с РИ операторов."
"
1.Несоответствие геометрическим размерам. ","Оператор: Невнимательность оператора при установке, Отступление от линии разметки при резании Что бы исправить Определить размер выборки инструментального контроля; включить в РИ по выполнению операции действия по визуальному и инструментальному контролю; разместить РИ на рабочем месте; ознакомить с РИ операторов."
"
1.Несоответствие геометрическим размерам. ",3 Средства измерений (СИ): Неисправность СИ Что бы исправить  - 
 Поломка режущего инструмента. ,"8.Режущий инструмент :Некачественный режущий инструмент; СОЖ,  Дефект полотна – полотно перекалено Что бы исправить Подбор проверенных качественных поставщиков. Документация на материал"
 Поломка режущего инструмента. ,"Сильное нажатие на ножовку. Слабое натяжение полотна. Полотно перетянуто. Неравномерное движение ножовкой при резании Что бы исправить Создание матрицы компетентностей сотрудников, создание РИ по проведению операции, присвоение разряда "
 Поломка режущего инструмента. ,"Некачественное закрепление, попадание мусора/стружки. Что бы исправить Создание матрицы компетентностей сотрудников, создание РИ по проведению операции"
Завалы,"Оператор: не верно выставлены тиски Что бы исправить Создание матрицы компетентностей сотрудников, создание РИ по проведению операции"
4.«Рваный» торец отрезанной трубы,"1.Оераттро:Несоблюдение правил резания труб Что бы исправить Создание матрицы компетентностей сотрудников, создание РИ по проведению операции"
Грубые задиры в местах закрепления трубы,"1.Оператор: Нарушение правил закрепления труб Что бы исправить Создание матрицы компетентностей сотрудников, создание РИ по проведению операции"
Грубые задиры в местах закрепления трубы,1.Оператор: Недостаточное закрепление в тисках Что бы исправить ППО на оснастку
"Получение травмы, остановка производства","3.Оператор: Несоблюдение техники безопасности Что бы исправить Получение инструктажа, Роспись в журнале  проведения инструктажей"
Пересорт,Оператор :Пропуск деталей из комплекта/партии Что бы исправить Сменное задание - спецификация/ чек-лист 
Перекос реза,"2.Оператор: Слабо натянуто полотно. Резание производилось поперек полосы или полки угольника   Что бы исправить Создание матрицы компетентностей сотрудников, создание РИ по проведению операции"
"1.Несоответтсие размеров,количества и расположение отверстий","Програмист ЧПУ: Ошибки при написании программы
 Что бы исправить Выбор программиста согласно Матрице компетентности"
"Приход в негодность материала. Увеличение трудозатрат. Увеличение материалоемкости, Остановка производства","Программист ЧПУ: Ошибки при написании программы
Ошибка в подборе скорости (подачи), количества элементов, геометрии по чертежу Что бы исправить Стажировка на данном оборудовании, соответствие разряду/присвоение разряда "
"3.Брак материала, (трещины, разрывы)","Не соответствие ГОСТ/ТУ Что бы исправить Программы развития поставщиков, подбор поставщиков"
4.Заусенцы . Увеличение трудоемкости  при сборке,"3.Оборудование: Зазор, Износ оборудования Что бы исправить Включить оборудование в график ППО; разработать стандарт ППО; разработать карту автономного обслуживания на рабочем месте; разработать кодификатор отказов оборудования"
4.Заусенцы . Увеличение трудоемкости  при сборке,3.Оборудование: износ режущей кромки Пуассона Что бы исправить Включить оборудование в график ППО; разработать стандарт ППО; разработать карту автономного обслуживания на рабочем месте; разработать кодификатор отказов оборудования
1.Непрокрас,"Маляр Не внимательность, неверное нанесение, не соблюдение РИ/техпроцесса Что бы исправить Соответствие разряду/присвоение разряда, РИ по выполнению операции"
Шагрень,1.Маляр: неверное приготовление раствора Что бы исправить Таблицы рецептур
3.Крастеры ,"Маляр : неправильно выбран режим окрашивания. Что бы исправить соответствие разряду/присвоение разряда, РИ по выполнению операции"
Сорность.,"1.Маляр: Не подготовлена поверхность, Загрязненные комплектующие Что бы исправить соответствие разряду/присвоение разряда, РИ по выполнению операции"
Сорность.,"1.Маляр:Не профильтрован лакокрасочный материал. Что бы исправить соответствие разряду/присвоение разряда, РИ по выполнению операции"
Сорность.,"1.Маляр. Загрязнён растворитель, используемый для разбавления ЛКМ до рабочей вязкости. Что бы исправить соответствие разряду/присвоение разряда, РИ по выполнению операции"
Сорность.,"2.Оборудование: Поломка оборудования, засорение каналов
 Что бы исправить Проведение ППО/ППР согласно графику"
Потёки или наплывы.,"Маляр  не соблюдение РИ/техпроцесса Что бы исправить Соответствие разряду/присвоение разряда, РИ по выполнению операции"
Потёки или наплывы.,"1.Маляр: неверное приготовление раствора Что бы исправить Соответствие разряду/присвоение разряда, РИ по выполнению операции"
6.Трещины,"Маляр не соблюдение РИ/техпроцесса Что бы исправить Соответствие разряду/присвоение разряда, РИ по выполнению операции"
6.Трещины,5.Производственная среда: отсутствие условий формирования слоя Что бы исправить -
7.Нанесение травмы,"Маляр. Невнимательность.Нарушение ОТ Что бы исправить Получение инструктажа, Роспись в журнале  проведения инструктажей"
Пересорт,"1.Маляр :Пропуск деталей из комплекта/партии, потеря Что бы исправить Сменное задание - спецификация/ чек-лист "
Пузыри,1.Маляр: неверное приготовление раствора Что бы исправить Таблицы рецептур
Пузыри,"1.Маляр: Не подготовлена поверхность, Загрязненные комплектующие Что бы исправить Соответствие разряду/присвоение разряда, РИ по выполнению операции"
Отслоение ЛКМ,Не соответствие ГОСТ/ТУ Что бы исправить Подбор проверенных качественных поставщиков. Документация на материал
Отслоение ЛКМ,"1.Маляр: Не подготовлена поверхность, Загрязненные комплектующие Что бы исправить Соответствие разряду/присвоение разряда, РИ по выполнению операции"
Изменение цвет,Не соответствие ГОСТ/ТУ Что бы исправить Подбор проверенных качественных поставщиков. Документация на материал
Неудовлетворительная адгезия ( шелушение ),"1.Маляр: Не подготовлена поверхности Что бы исправить Соответствие разряду/присвоение разряда, РИ по выполнению операции"
Неудовлетворительная адгезия ( шелушение ),Не соответствие ГОСТ/ТУ Что бы исправить Подбор проверенных качественных поставщиков. Документация на материал
Неудовлетворительная адгезия ( шелушение ),"Нарушение условий формирование защитного слоя.  Что бы исправить соответствие разряду/присвоение разряда, Создание РИ по окраске "
Неверная сборка/позиционирование элементов,"Оператор. Не внимательность оператора, неверное расположение, не соблюдение РИ/техпроцесса  Что бы исправить Сменное задание - спецификация/ Качек-лист на сборку/РИ по сборке"
Пропуск детали,"Оператор. Не внимательность оператора, неверное расположение, не соблюдение РИ/техпроцесса  Что бы исправить Сменное задание - спецификация/ Качек-лист на сборку/РИ по сборке"
Наличие зазоров,"Оператор. Не внимательность оператора, неверное расположение, не соблюдение РИ/техпроцесса  Что бы исправить Сменное задание - спецификация/ МК,чек-лист на сборку/РИ по сборке"
Увеличение производственного цикла сборки,Материалы : Геометрическое несоответствие сборочному чертежу. Слабый контроль на предыдущих операциях. Что бы исправить Идентификационные бирки/маршрутные карты на комплектующие
Увеличение производственного цикла сборки,"Материалы: Деформация материалов, доработка Что бы исправить Идентификационные бирки/маршрутные карты на комплектующие"
Увеличение производственного цикла сборки,4.Производственная среда: Сборочная площадка : Отсутствие эргономики рабочего пространства Что бы исправить Планировка сборочного участка
Увеличение производственного цикла сборки,Материалы: Отсутствие полных комплектов деталей на сборку Что бы исправить Сменное задание - спецификация/ чек-лист на сборку-РИ по сборке
Увеличение производственного цикла сборки,4.Производственная среда: Отсутствие сборочного инструмента Что бы исправить -
Увеличение производственного цикла сборки,"Расходники: Отсутствуют, несвоевременная закупка Что бы исправить График закупок"
"Потеря внешнего вида, последующие прогрессирующие дефекты поверхности","Материалы: Слабый визуальный контроль на предыдущих операциях, нарушение техпроцесса Что бы исправить -"
Дефекты сварного шва: Непровар в сварном шве,"1.Сварщик-слесарь : Опыт работы, сварка велась слишком быстро. Что бы исправить Карта режимов сварки, оптимальный режим сварки"
Дефекты сварного шва: Непровар в сварном шве,"1.Сварщик-слесарь : Настройка Оборудования Что бы исправить Карта режимов сварки, оптимальный режим сварки"
Дефекты сварного шва: Подрез,"1.Сварщик-слесарь : Опыт работы, сварка велась слишком быстро. Что бы исправить Карта режимов сварки, оптимальный режим сварки"
Дефекты сварного шва: Подрез,"1.Сварщик-слесарь : Настройка Оборудования Что бы исправить Карта режимов сварки, оптимальный режим сварки"
Дефекты сварного шва: Наплыв,"1.Сварщик-слесарь : неверная настройка силы тока и напряжения дуги Что бы исправить Карта режимов сварки, оптимальный режим сварки"
"Дефекты сварного шва: Прожог
","1.Сварщик-слесарь несоблюдение технологии создания сварного шва, медленная сварка Что бы исправить -"
5.Дефекты сварного шва: Кратер,"1.Сварщик-слесарь несоблюдение технологии создания сварного шва, медленная сварка Что бы исправить -"
6.Дефекты сварного шва: Трещины в сварных швах,"1.Сварщик-слесарь несоблюдение технологии создания сварного шва, несовместимость электрода/присадочной проволоки и свариваемого металла.  Что бы исправить -"
7.Дефекты сварного шва: Поры,1.Сварщик-слесарь : недостаточно тщательно зачищены кромки и не защищен шов от попадания кислорода Что бы исправить -
7.Дефекты сварного шва: Поры,Оборудование: неисправность горелки/исправность системы подачи газа. Что бы исправить Включить оборудование в график ППО; разработать стандарт ППО; разработать карту автономного обслуживания на рабочем месте; разработать кодификатор отказов оборудования
7.Дефекты сварного шва: Поры,Производственная среда: Сквозняк Что бы исправить -
8.Получение повреждений,"1.Сварщик-слесарь :Нарушение техники безопасности, Слабая организация труда Что бы исправить Получение инструктажа, Роспись в журнале  проведения инструктажей"
9.Последующая не собираемость ,Усадка материала Что бы исправить  
9.Последующая не собираемость ,1.Сварщик-слесарь: Не зачищенный сварной шов в раме препятствует собираемости  Что бы исправить создание РИ/ карты контроля сварных соединений
10.Сбой производственного цикла ,Оборудование: Сбои/поломка оборудования Что бы исправить Проведение ППО/ППР согласно графику
10.Сбой производственного цикла ,"3.Расходники: Отсутствие комплектующих, элементов материалов (Газ, проволока, диски) Что бы исправить График закупок, мониторинг остатков "
11.Отсутствие заявленной геометрии,Оснастка: Кондуктор: Плохая фиксация/Нет возможностей закрепления элементов Что бы исправить Аттестация оснастки
11.Отсутствие заявленной геометрии, Оснастка: Кондуктор: геометрическая не точность кондуктора Что бы исправить Аттестация оснастки
11.Отсутствие заявленной геометрии,"Слабый визуальный контроль на предыдущих операциях, нарушение техпроцесса Что бы исправить Идентификация в производстве, ротация исполнителей, Требование к опыту и квалификации, "
1.Пропуск поверхности при обработке,"Оператор: Не внимательность, нарушение хода выполнение работ Что бы исправить Соответствие разряду/присвоение разряда, РИ по выполнению операции"
2.Увеличение сроков длительности производственного цикла/ сбой производства.,"Оборудование: Поломка оборудования, засорение каналов
 Что бы исправить Проведение ППО/ППР согласно графику"
2.Увеличение сроков длительности производственного цикла/ сбой производства.,3.Расхлдники: отсутствует абразивный материал  Что бы исправить -
3.Нанесение травмы,"Оператор: Невнимательность оператора, несоблюдение ТБ Что бы исправить Получение инструктажа, Роспись в журнале  проведения инструктажей"
3.Нанесение травмы,"СИЗ: несоответствующие СИЗ Что бы исправить Получение инструктажа, Роспись в журнале  проведения инструктажей"
4.Пересорт,"Оператор: Не внимательность, нарушение хода выполнение работ Что бы исправить Сменное задание - спецификация/ чек-лист  "
1.Появление дефектов поверхности,"1.Грузчик/комплектовщик: Невнимательность при транспортировке,  неполная упаковка  Что бы исправить Требование к опыту и квалификации , РИ по погрузочно-разгрузочной работам"
1.Появление дефектов поверхности,3.Упаковочный материал: неверно использован упаковочный материал Что бы исправить -
2.Получение повреждений,"Грузчик/комплектовщик: Нарушении ТБ Что бы исправить Получение инструктажа, подпись в журнале  проведения инструктажей"
3.Пересорт,Грузчик/комплектовщик: Пропуск деталей из комплекта/партии Что бы исправить Сменное задание - спецификация/ чек-лист на транспортировку
"4.Увеличение времени производственного цикла, ожидание,  сбой производственного цикла",2.Оборудование: Поломка автотранспортного средства Что бы исправить Проведение ТО
"4.Увеличение времени производственного цикла, ожидание,  сбой производственного цикла",5.Маршрут: Неверно рассчитан маршрут/ аварийная ситуация на дорогах Что бы исправить Определение и согласование оптимальных графиков и маршрутов
"4.Увеличение времени производственного цикла, ожидание,  сбой производственного цикла",Материал: несоответствие количеству  Что бы исправить Сменное задание - спецификация/ чек-лист на транспортировку
Расплав материала подается в форму в более жидкой консистенции чем требуется,Материал нагревается в шнеке до слишком высокой температуры (более 220 С)из-за отсутствия защиты от перегрева Что бы исправить Установленные пределы наладки по карте режимов 180-220 
Нагрев материала в шнеке ТПА более чем на 220 С,"Погрешность датчика терморегулятора составляет 5-7 С, что не позволяет точно установить температуру в пределах 180-220С Что бы исправить Контроль параметров при помощи терморегулятора ТРМ-12"
Расплав материала подается в форму в более жидкой консистенции чем требуется,Материал нагревается в шнеке до слишком высокой температуры (более 220 С)из-за отсутствия защиты от перегрева Что бы исправить Корректировка диапазонов температур по карте режимов наладки на 190-210 С
Нагрев материала в шнеке ТПА более чем на 220 С,"Погрешность датчика терморегулятора составляет 5-7 С, что не позволяет точно установить температуру в пределах 180-220С Что бы исправить Корректировка диапазонов температур по карте режимов наладки на 190-210 С"
Попадание воды в тару с готовой продукции,Течь с крыши в тару с готовой продукции Что бы исправить Периодическое обслуживание кровли здания
Попадание воды в тару с готовой продукции,Течь с крыши в тару с готовой продукции Что бы исправить Организация накрытия продукции на складе крышками во время хранения
Опрокидывание тары с деталями бортом погрузчика при развороте,"Тара с деталями фактически размещена в месте разворота погрузчика
Ярусность хранения тары превышает 4 шт. Что бы исправить Установить ограничители высоты тары в местах размещения тары на хранение"
Расплав материала подается в форму в более жидкой консистенции чем требуется,Материал нагревается в шнеке до слишком высокой температуры (более 220 С)из-за отсутствия защиты от перегрева Что бы исправить Установленные пределы наладки по карте режимов 180-220 
Расплав материала подается в форму в более жидкой консистенции чем требуется,Материал нагревается в шнеке до слишком высокой температуры (более 220 С)из-за отсутствия защиты от перегрева Что бы исправить Корректировка диапазонов температур по карте режимов наладки на 190-210 С
Нагрев материала в шнеке ТПА более чем на 220 С,"Погрешность датчика терморегулятора составляет 5-7 С, что не позволяет точно установить температуру в пределах 180-220С Что бы исправить Контроль параметров при помощи терморегулятора ТРМ-12"
Нагрев материала в шнеке ТПА более чем на 220 С,"Погрешность датчика терморегулятора составляет 5-7 С, что не позволяет точно установить температуру в пределах 180-220С Что бы исправить Корректировка диапазонов температур по карте режимов наладки на 190-210 С"
Расплав материала подается в форму в более жидкой консистенции чем требуется,Материал нагревается в шнеке до слишком высокой температуры (более 220 С)из-за отсутствия защиты от перегрева Что бы исправить Корректировка диапазонов температур по карте режимов наладки на 190-210 С
Расплав материала подается в форму в более жидкой консистенции чем требуется,Материал нагревается в шнеке до слишком высокой температуры (более 220 С)из-за отсутствия защиты от перегрева Что бы исправить Установленные пределы наладки по карте режимов 180-220 
Нагрев материала в шнеке ТПА более чем на 220 С,"Погрешность датчика терморегулятора составляет 5-7 С, что не позволяет точно установить температуру в пределах 180-220С Что бы исправить Контроль параметров при помощи терморегулятора ТРМ-12"
Нагрев материала в шнеке ТПА более чем на 220 С,"Погрешность датчика терморегулятора составляет 5-7 С, что не позволяет точно установить температуру в пределах 180-220С Что бы исправить Корректировка диапазонов температур по карте режимов наладки на 190-210 С"
